Date,Close_Com60,Close_Com120,Close_Com240,K_Open,K_High,K_Low,K_Close
1990-01-02,223.309032,220.794918,208.903326,222.707504,227.725006,222.707504,224.930004
1990-01-03,223.231613,220.927377,209.099421,223.818754,228.940002,223.818754,227.216255
1990-01-04,223.118306,221.04086,209.281839,225.517504,226.175003,224.925003,224.925003
1990-01-05,222.936613,221.136434,209.458781,225.221254,225.221254,223.884998,223.884998
1990-01-08,222.722983,221.223934,209.646115,224.553126,224.553126,222.974998,222.974998
1990-01-09,222.48258,221.284959,209.815558,223.764062,224.330002,222.532498,222.532498
1990-01-10,222.183709,221.327336,209.960165,223.14828,223.14828,218.844994,218.844994
1990-01-11,221.844354,221.326475,210.082107,220.996637,220.996637,215.446251,215.446251
1990-01-12,221.588386,221.307623,210.186446,218.221444,218.221444,211.052502,211.052502
1990-01-15,221.30887,221.280983,210.280785,214.636973,214.636973,208.258751,208.258751
1990-01-16,221.109999,221.312131,210.385929,211.447862,212.0,209.072498,209.072498
1990-01-17,220.853225,221.33336,210.47781,210.26018,213.899994,210.26018,211.717495
1990-01-18,220.515161,221.338893,210.563367,210.988838,210.988838,210.0275,210.0275
1990-01-19,220.238709,221.34836,210.662272,210.508169,214.889999,210.508169,212.485004
1990-01-22,219.904838,221.30668,210.739111,211.496586,213.910004,210.94125,210.94125
1990-01-23,219.603306,221.250983,210.802851,211.218918,211.218918,207.899998,207.899998
1990-01-24,219.290886,221.201065,210.871839,209.559458,209.75,207.431248,207.431248
1990-01-25,219.028306,221.143155,210.942438,208.495353,209.830002,206.954998,206.954998
1990-01-26,218.776773,221.050409,211.014917,207.725175,207.725175,204.252499,204.252499
1990-01-29,218.502257,220.943155,211.083719,205.988837,205.988837,202.558746,202.558746
1990-01-30,218.099676,220.770163,211.133409,204.273792,204.273792,199.612496,199.612496
1990-01-31,217.754999,220.624344,211.193429,201.943144,201.964996,199.803749,199.803749
1990-02-01,217.490402,220.502991,211.256322,200.873446,203.044998,200.873446,202.138748
1990-02-02,217.273628,220.406229,211.327004,201.506097,206.755005,201.506097,204.526252
1990-02-05,217.133386,220.325778,211.402706,203.016174,206.835007,203.016174,206.002506
1990-02-06,216.930564,220.245983,211.48252,204.50934,206.714996,204.50934,205.513748
1990-02-07,216.711774,220.17168,211.566549,205.011544,207.199997,205.011544,205.497498
1990-02-08,216.495564,220.10918,211.660165,205.254521,209.580002,205.254521,207.608746
1990-02-09,216.269193,220.046434,211.762148,206.431634,208.744995,206.431634,207.851246
1990-02-12,216.013144,219.965778,211.857562,207.14144,208.520004,207.14144,207.460003
1990-02-13,215.784596,219.908524,211.955082,207.300722,207.994995,206.855,206.855
1990-02-14,215.554193,219.848483,212.048471,207.077861,208.535004,207.077861,207.695
1990-02-15,215.364354,219.786516,212.148119,207.386431,210.104996,207.386431,208.741246
1990-02-16,215.134112,219.687827,212.234276,208.063838,210.434998,208.063838,209.257496
1990-02-20,214.838144,219.558688,212.310165,208.660667,208.660667,206.279999,206.279999
1990-02-21,214.547661,219.421721,212.38659,207.470333,207.470333,204.268753,204.268753
1990-02-22,214.234193,219.289671,212.464442,205.869543,206.854996,204.942501,204.942501
1990-02-23,213.86258,219.128975,212.533863,205.406022,205.406022,202.645,202.645
1990-02-26,213.555806,218.986516,212.611322,204.025511,204.675003,203.122501,203.122501
